framework,method,10,20,50,100,200
fully_supervised,badge,14.65 $\pm$ 2.11,18.42 $\pm$ 2.07,20.83 $\pm$ 2.14,26.92 $\pm$ 0.94,29.06 $\pm$ 1.13
fully_supervised,bald,15.42 $\pm$ 1.50,17.39 $\pm$ 1.25,20.67 $\pm$ 1.50,23.60 $\pm$ 0.64,25.57 $\pm$ 1.44
fully_supervised,dbal,13.23 $\pm$ 0.61,16.69 $\pm$ 1.87,18.11 $\pm$ 0.85,25.31 $\pm$ 2.43,23.38 $\pm$ 3.08
fully_supervised,entropy,13.07 $\pm$ 1.02,18.59 $\pm$ 3.19,18.61 $\pm$ 1.43,24.73 $\pm$ 1.21,25.85 $\pm$ 1.93
fully_supervised,kcenter,15.84 $\pm$ 0.67,16.99 $\pm$ 1.59,20.83 $\pm$ 1.42,26.73 $\pm$ 0.39,26.40 $\pm$ 1.85
fully_supervised,margin,14.72 $\pm$ 2.06,17.94 $\pm$ 3.47,19.81 $\pm$ 1.31,25.89 $\pm$ 1.43,25.96 $\pm$ 1.13
fully_supervised,random,15.65 $\pm$ 2.48,17.18 $\pm$ 0.35,18.28 $\pm$ 1.60,25.63 $\pm$ 0.76,28.88 $\pm$ 2.02
fully_supervised,tpcinv,10.27 $\pm$ 0.43,12.90 $\pm$ 1.60,16.91 $\pm$ 1.43,20.02 $\pm$ 1.44,20.76 $\pm$ 0.98
fully_supervised,tpcnoclust,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00,10.00 $\pm$ 0.00,18.62 $\pm$ 1.04
fully_supervised,tpcrand,14.91 $\pm$ 0.65,17.41 $\pm$ 1.52,21.75 $\pm$ 1.92,28.14 $\pm$ 1.30,28.27 $\pm$ 0.98
fully_supervised,tpcrp,14.95 $\pm$ 0.97,19.10 $\pm$ 0.39,23.18 $\pm$ 0.89,30.06 $\pm$ 1.33,33.91 $\pm$ 2.33
fully_supervised,tpcrp_ccfl,16.50 $\pm$ 0.52,19.62 $\pm$ 0.78,22.82 $\pm$ 0.31,28.76 $\pm$ 0.72,31.51 $\pm$ 3.01
fully_supervised,uncertainty,14.76 $\pm$ 1.51,18.53 $\pm$ 1.74,18.54 $\pm$ 1.40,25.30 $\pm$ 1.77,25.09 $\pm$ 3.55
semi_supervised,badge,20.70 $\pm$ 0.44,37.56 $\pm$ 2.83,67.65 $\pm$ 2.33,71.59 $\pm$ 0.29,74.33 $\pm$ 0.65
semi_supervised,bald,16.48 $\pm$ 1.06,26.80 $\pm$ 4.82,52.73 $\pm$ 6.64,68.21 $\pm$ 1.11,76.20 $\pm$ 0.61
semi_supervised,dbal,24.38 $\pm$ 5.36,40.76 $\pm$ 1.72,66.66 $\pm$ 0.87,72.29 $\pm$ 0.68,76.03 $\pm$ 0.45
semi_supervised,entropy,17.00 $\pm$ 0.83,27.21 $\pm$ 4.69,47.55 $\pm$ 2.60,59.36 $\pm$ 2.11,69.85 $\pm$ 0.79
semi_supervised,kcenter,15.60 $\pm$ 0.00,35.92 $\pm$ 0.00,70.54 $\pm$ 0.00,72.06 $\pm$ 0.00,74.03 $\pm$ 0.00
semi_supervised,margin,25.40 $\pm$ 0.82,42.82 $\pm$ 7.43,62.81 $\pm$ 1.83,73.21 $\pm$ 0.35,77.00 $\pm$ 0.94
semi_supervised,random,28.37 $\pm$ 2.82,44.02 $\pm$ 8.76,57.27 $\pm$ 3.24,67.86 $\pm$ 0.32,73.76 $\pm$ 1.04
semi_supervised,tpcinv,10.45 $\pm$ 0.45,10.78 $\pm$ 0.06,11.96 $\pm$ 0.89,15.24 $\pm$ 2.23,22.80 $\pm$ 4.10
semi_supervised,tpcnoclust,10.77 $\pm$ 0.00,10.77 $\pm$ 0.00,12.82 $\pm$ 0.00,14.75 $\pm$ 0.00,37.21 $\pm$ 0.00
semi_supervised,tpcrand,24.59 $\pm$ 3.51,44.36 $\pm$ 7.29,61.87 $\pm$ 1.06,69.92 $\pm$ 0.71,75.49 $\pm$ 0.60
semi_supervised,tpcrp,36.50 $\pm$ 0.00,56.41 $\pm$ 2.00,76.59 $\pm$ 0.62,78.41 $\pm$ 0.14,79.31 $\pm$ 0.65
semi_supervised,tpcrp_ccfl,43.28 $\pm$ 0.00,60.41 $\pm$ 0.30,77.04 $\pm$ 0.18,78.83 $\pm$ 0.68,78.83 $\pm$ 0.27
semi_supervised,uncertainty,25.40 $\pm$ 0.82,42.82 $\pm$ 7.43,63.83 $\pm$ 3.52,72.71 $\pm$ 1.99,76.13 $\pm$ 0.26
ssl_embedding,badge,36.49 $\pm$ 4.81,55.92 $\pm$ 3.13,69.29 $\pm$ 2.07,75.37 $\pm$ 0.40,76.58 $\pm$ 0.79
ssl_embedding,bald,28.27 $\pm$ 2.66,47.23 $\pm$ 6.51,55.69 $\pm$ 2.23,63.70 $\pm$ 3.15,71.00 $\pm$ 1.86
ssl_embedding,dbal,32.63 $\pm$ 6.23,51.85 $\pm$ 4.66,60.19 $\pm$ 2.37,69.54 $\pm$ 0.62,73.00 $\pm$ 0.43
ssl_embedding,entropy,31.45 $\pm$ 8.61,53.86 $\pm$ 3.07,56.65 $\pm$ 2.50,70.08 $\pm$ 0.35,73.30 $\pm$ 0.48
ssl_embedding,kcenter,37.95 $\pm$ 0.20,49.93 $\pm$ 0.13,70.49 $\pm$ 0.14,75.57 $\pm$ 0.08,76.52 $\pm$ 0.01
ssl_embedding,margin,38.41 $\pm$ 9.39,56.88 $\pm$ 5.83,68.88 $\pm$ 0.05,73.97 $\pm$ 0.83,78.26 $\pm$ 0.97
ssl_embedding,random,42.92 $\pm$ 4.98,57.56 $\pm$ 2.63,67.23 $\pm$ 1.21,71.98 $\pm$ 2.11,75.81 $\pm$ 0.95
